Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Approval Status,Approval Date,Origin
Isis,Ganymede,75.00,-67.28,201.20,"Planetographic, +West, 0 - 360",Approved,1979,Egyptian goddess; wife of Osiris.
Kadi,Ganymede,87.00,47.68,178.50,"Planetographic, +West, 0 - 360",Approved,1985,Babylonian goddess of justice.
[Keret],Ganymede,36.00,16.00,35.20,"Planetographic, +West, 0 - 360",Dropped,1979,Phoenician hero. Name dropped because feature not found on imagery.
Khensu,Ganymede,17.00,1.02,152.93,"Planetographic, +West, 0 - 360",Approved,1997,Egyptian moon god.
Khepri,Ganymede,47.00,20.41,147.56,"Planetographic, +West, 0 - 360",Approved,1997,God of transformations for the Heliopitans.
[Khnum],Ganymede,45.00,-17.80,85.20,"Planetographic, +West, 0 - 360",Not Approved,-,Egyptian ram-headed creation god.
Khnum Catena,Ganymede,66.00,32.90,349.27,"Planetographic, +West, 0 - 360",Approved,1997,Egyptian creation god.
Khonsu,Ganymede,80.00,-37.51,190.83,"Planetographic, +West, 0 - 360",Approved,1988,Egyptian moon god.
Khumbam,Ganymede,57.00,-24.10,335.35,"Planetographic, +West, 0 - 360",Approved,1979,Assyro-Babylonian; Elamite creator god.
Kingu,Ganymede,78.00,-34.66,227.03,"Planetographic, +West, 0 - 360",Approved,1988,Assyro-Babylonian; conquered leader of Tiamat's forces whose blood was used to create man.
Kishar,Ganymede,78.00,72.70,349.46,"Planetographic, +West, 0 - 360",Approved,1979,Assyro-Babylonian; terrestrial progenitor goddess.
Kishar Sulcus,Ganymede,1187.00,-6.40,216.60,"Planetographic, +West, 0 - 360",Approved,1979,Assyro-Babylonian; terrestrial-world home of Lakhmu and Lakhamu.
Kittu,Ganymede,15.00,0.40,334.60,"Planetographic, +West, 0 - 360",Approved,1985,Assyro-Babylonian god of justice.
Kulla,Ganymede,93.00,33.22,113.87,"Planetographic, +West, 0 - 360",Approved,1985,Sumerian god of brick making.
Lagamal,Ganymede,131.00,64.30,244.21,"Planetographic, +West, 0 - 360",Approved,2000,Son of Babylonian god Ea.
Lagash Sulcus,Ganymede,1575.00,-8.99,164.01,"Planetographic, +West, 0 - 360",Approved,1985,Early Babylonian town.
Lakhamu Fossa,Ganymede,370.00,-11.70,227.20,"Planetographic, +West, 0 - 360",Approved,1985,"Dragon monster, or divine natural force produced by Apsu and Tiamat."
Lakhmu Fossae,Ganymede,3700.00,50.40,128.00,"Planetographic, +West, 0 - 360",Approved,1985,"Dragon monster, or divine natural force produced by Apsu and Tiamat."
Laomedon,Ganymede,64.00,20.90,77.90,"Planetographic, +West, 0 - 360",Approved,"Apr 03, 2019","In Greek mythology, legendary king of Troy, nephew (or possibly father) of Ganymede."
Larsa Sulci,Ganymede,1130.00,2.00,260.00,"Planetographic, +West, 0 - 360",Approved,2000,Sumerian town.
Latpon,Ganymede,43.00,58.74,171.21,"Planetographic, +West, 0 - 360",Approved,1997,One of the sons of El.
Lugalmeslam,Ganymede,64.00,23.72,193.89,"Planetographic, +West, 0 - 360",Approved,1997,Sumerian god of the underworld.
Lumha,Ganymede,58.00,36.01,154.23,"Planetographic, +West, 0 - 360",Approved,1985,Title of Enki as patron of singers; also Babylonian priest.
Maa,Ganymede,31.00,1.30,203.63,"Planetographic, +West, 0 - 360",Approved,1997,Egyptian god of the sense of sight.
Marius Regio,Ganymede,4940.00,2.50,187.70,"Planetographic, +West, 0 - 360",Approved,1979,Simon; German astronomer (1570-1624).
Mashu Sulcus,Ganymede,2960.00,34.00,210.00,"Planetographic, +West, 0 - 360",Approved,1979,Assyro-Babylonian; mountain with twin peaks where sun rose and set.
Mehit,Ganymede,47.00,28.95,164.39,"Planetographic, +West, 0 - 360",Approved,1985,Egyptian lion-headed goddess; Anhur's wife.
Melkart,Ganymede,105.00,-9.86,186.07,"Planetographic, +West, 0 - 360",Approved,1979,Phoenician; divinity of Tyre.
Melotte Regio,Ganymede,4100.00,-12.00,245.00,"Planetographic, +West, 0 - 360",Approved,"Jul 29, 2013",Philibert Jacques; British astronomer (1880-1961).
Memphis Facula,Ganymede,361.00,14.10,131.91,"Planetographic, +West, 0 - 360",Approved,1985,Ancient capitol of lower kingdom.
Menhit,Ganymede,140.00,-36.31,140.32,"Planetographic, +West, 0 - 360",Approved,2006,Egyptian lion and war goddess.
Min,Ganymede,33.00,29.23,1.26,"Planetographic, +West, 0 - 360",Approved,1988,Egyptian fertility god.
Mir,Ganymede,8.00,-3.30,230.30,"Planetographic, +West, 0 - 360",Approved,1985,West Semitic god of wind.
Misharu,Ganymede,88.00,-4.31,335.89,"Planetographic, +West, 0 - 360",Approved,1985,Assyro-Babylonian god of law.
Mont,Ganymede,15.00,44.62,311.95,"Planetographic, +West, 0 - 360",Approved,1997,Theban war god.
Mor,Ganymede,41.00,30.55,327.35,"Planetographic, +West, 0 - 360",Approved,1979,Phoenician; spirit of the harvest.
Mot,Ganymede,23.00,9.93,165.95,"Planetographic, +West, 0 - 360",Approved,1997,"Spirit of the harvest, one of the sons of El."
Mummu Sulci,Ganymede,2680.00,-39.00,180.00,"Planetographic, +West, 0 - 360",Approved,"Jul 29, 2013",Assyro-Babylonian;  the tumult of the waves at the place where the waters of primordial freshwater ocean Apsu and salt sea Tiamat are mingled.
Musa Patera,Ganymede,69.00,-31.35,188.46,"Planetographic, +West, 0 - 360",Approved,"Mar 02, 2015","Wadi in Jordan, proximal to Petra archeological site."
Mush,Ganymede,99.00,-15.12,114.77,"Planetographic, +West, 0 - 360",Approved,1985,"Sumerian male deity; upper parts are human, lower parts a serpent."
Mysia Sulci,Ganymede,5066.00,-7.00,7.80,"Planetographic, +West, 0 - 360",Approved,1979,Greek; where Ganymede was abducted by an eagle.
Nabu,Ganymede,40.00,-45.39,1.19,"Planetographic, +West, 0 - 360",Approved,1979,Sumerian god of intellectual activity.
Nah-Hunte,Ganymede,47.00,-17.76,85.26,"Planetographic, +West, 0 - 360",Approved,2000,Elamite god of light and justice.
Namtar,Ganymede,50.00,-58.34,340.70,"Planetographic, +West, 0 - 360",Approved,1979,Assyro-Babylonian plague demon.
Nanna,Ganymede,56.00,-17.61,241.87,"Planetographic, +West, 0 - 360",Approved,1985,Sumerian moon god; god of wisdom.
Nanshe Catena,Ganymede,103.80,15.40,352.90,"Planetographic, +West, 0 - 360",Approved,1997,"Goddess of springs and canals, daughter of Enki."
Natrun Patera,Ganymede,37.50,-30.93,183.26,"Planetographic, +West, 0 - 360",Approved,"Mar 02, 2015","Wadi in Egypt, site of ancient monasteries, proximal to site of Antoine de Saint-Exupéry’s aircraft crash that inspired the novella “The Little Prince”."
